date,open,high,low,close,Adj Close,volume
"Sep 17, 2018","27,029.91","27,037.48","26,763.21","26,932.85","26,932.85","1,262,149,500"
"Sep 14, 2018","27,229.79","27,340.02","27,027.45","27,286.41","27,286.41","1,707,220,300"
"Sep 13, 2018","26,798.39","27,014.49","26,648.77","27,014.49","27,014.49","2,336,699,600"
"Sep 12, 2018","26,462.82","26,468.91","26,219.56","26,345.04","26,345.04","2,255,883,500"
"Sep 11, 2018","26,611.93","26,690.65","26,394.87","26,422.55","26,422.55","1,688,227,600"
"Sep 10, 2018","26,922.27","26,926.63","26,453.29","26,613.42","26,613.42","2,045,973,800"
"Sep 07, 2018","26,895.87","27,196.57","26,669.58","26,973.47","26,973.47","2,859,939,000"
"Sep 06, 2018","27,069.21","27,268.39","26,818.82","26,974.82","26,974.82","2,172,071,800"
"Sep 05, 2018","27,789.02","27,861.99","27,208.34","27,243.85","27,243.85","1,913,637,000"
"Sep 04, 2018","27,619.18","27,984.89","27,563.79","27,973.34","27,973.34","1,102,334,700"
"Sep 03, 2018","27,809.45","27,822.19","27,577.04","27,712.54","27,712.54","1,396,877,700"
"Aug 31, 2018","27,798.21","27,962.03","27,720.32","27,888.55","27,888.55","1,923,264,400"
"Aug 30, 2018","28,533.93","28,533.93","28,121.40","28,164.05","28,164.05","1,292,190,100"
"Aug 29, 2018","28,362.84","28,485.83","28,272.13","28,416.44","28,416.44","1,365,810,400"
"Aug 28, 2018","28,530.89","28,579.64","28,234.53","28,351.62","28,351.62","1,651,324,700"
"Aug 27, 2018","28,016.66","28,289.06","27,956.04","28,271.27","28,271.27","2,133,548,500"
"Aug 24, 2018","27,565.98","27,830.91","27,532.06","27,671.87","27,671.87","1,492,245,200"
"Aug 23, 2018","28,005.33","28,051.65","27,659.21","27,790.46","27,790.46","1,462,580,600"
"Aug 22, 2018","27,836.68","27,954.52","27,579.80","27,927.58","27,927.58","1,784,465,100"
"Aug 21, 2018","27,670.54","27,771.30","27,526.30","27,752.79","27,752.79","1,699,480,400"
"Aug 20, 2018","27,273.78","27,609.80","27,209.22","27,598.02","27,598.02","1,660,834,700"
"Aug 17, 2018","27,388.57","27,450.84","27,101.10","27,213.41","27,213.41","1,557,764,000"
"Aug 16, 2018","26,871.11","27,405.25","26,871.11","27,100.06","27,100.06","2,138,210,600"
"Aug 15, 2018","27,724.72","27,727.27","27,249.08","27,323.59","27,323.59","1,913,746,300"
"Aug 14, 2018","27,938.32","27,946.55","27,522.82","27,752.93","27,752.93","1,490,419,600"
"Aug 13, 2018","27,956.78","28,085.17","27,823.21","27,936.57","27,936.57","1,484,354,700"
"Aug 10, 2018","28,614.73","28,665.90","28,296.99","28,366.62","28,366.62","1,284,477,700"
"Aug 09, 2018","28,260.50","28,728.17","28,192.81","28,607.30","28,607.30","1,448,212,200"
"Aug 08, 2018","28,473.48","28,473.48","28,224.46","28,359.14","28,359.14","1,611,650,400"
"Aug 07, 2018","27,889.44","28,266.68","27,843.16","28,248.88","28,248.88","1,553,852,900"
"Aug 06, 2018","27,885.51","28,074.53","27,730.42","27,819.56","27,819.56","1,445,836,100"
"Aug 03, 2018","27,751.60","27,786.15","27,604.56","27,676.32","27,676.32","1,608,505,200"
"Aug 02, 2018","28,159.01","28,218.28","27,578.09","27,714.56","27,714.56","1,989,173,700"
"Aug 01, 2018","28,756.72","28,772.80","28,219.97","28,340.74","28,340.74","1,516,068,100"
"Jul 31, 2018","28,663.14","28,682.31","28,538.03","28,583.01","28,583.01","1,464,571,200"
"Jul 30, 2018","28,631.05","28,839.24","28,539.56","28,733.13","28,733.13","1,231,291,800"
"Jul 27, 2018","28,734.73","28,816.69","28,572.79","28,804.28","28,804.28","1,206,039,800"
"Jul 26, 2018","29,083.40","29,083.40","28,625.08","28,781.14","28,781.14","1,418,097,900"
"Jul 25, 2018","28,906.97","28,964.79","28,764.35","28,920.90","28,920.90","1,632,380,100"
"Jul 24, 2018","28,282.30","28,718.00","28,282.30","28,662.57","28,662.57","2,416,350,500"
"Jul 23, 2018","28,298.61","28,391.58","28,091.06","28,256.12","28,256.12","1,893,557,000"
"Jul 20, 2018","28,054.76","28,294.74","27,745.85","28,224.48","28,224.48","2,439,680,200"
"Jul 19, 2018","28,251.16","28,329.98","27,998.36","28,010.86","28,010.86","1,495,109,900"
"Jul 18, 2018","28,352.11","28,386.38","28,045.47","28,117.42","28,117.42","1,507,604,000"
"Jul 17, 2018","28,451.50","28,460.87","28,137.95","28,181.68","28,181.68","1,700,682,900"
"Jul 16, 2018","28,580.96","28,699.21","28,327.00","28,539.66","28,539.66","1,239,642,900"
"Jul 13, 2018","28,689.18","28,715.36","28,500.51","28,525.44","28,525.44","1,449,784,600"
"Jul 12, 2018","28,260.09","28,614.53","28,217.31","28,480.83","28,480.83","1,850,926,800"
"Jul 11, 2018","28,013.72","28,365.72","28,013.72","28,311.69","28,311.69","1,871,183,500"
"Jul 10, 2018","28,900.71","28,981.93","28,682.25","28,682.25","28,682.25","1,667,619,300"
"Jul 09, 2018","28,606.16","28,821.54","28,518.52","28,688.50","28,688.50","1,877,898,300"
"Jul 06, 2018","28,254.37","28,554.21","27,925.33","28,315.62","28,315.62","2,018,289,300"
"Jul 05, 2018","28,101.85","28,320.90","27,830.75","28,182.09","28,182.09","1,879,594,600"
"Jul 04, 2018","28,546.32","28,642.34","28,141.28","28,241.67","28,241.67","2,102,178,600"
"Jul 03, 2018","28,617.00","28,617.00","27,990.45","28,545.57","28,545.57","3,283,196,100"
"Jun 29, 2018","28,463.85","28,962.29","28,463.85","28,955.11","28,955.11","2,390,149,600"
"Jun 28, 2018","28,368.01","28,567.29","28,169.10","28,497.32","28,497.32","2,569,401,700"
"Jun 27, 2018","28,957.64","28,988.83","28,342.82","28,356.26","28,356.26","2,572,195,600"
"Jun 26, 2018","28,881.18","29,034.23","28,505.09","28,881.40","28,881.40","2,528,392,900"
"Jun 25, 2018","29,326.12","29,403.36","28,895.40","28,961.39","28,961.39","2,300,773,700"
"Jun 22, 2018","29,215.54","29,436.84","29,089.39","29,338.70","29,338.70","2,153,358,900"
"Jun 21, 2018","29,764.05","29,882.27","29,285.71","29,296.05","29,296.05","2,026,711,800"
"Jun 20, 2018","29,478.46","29,944.30","29,406.20","29,696.17","29,696.17","2,235,041,100"
"Jun 19, 2018","29,999.01","30,012.04","29,332.28","29,468.15","29,468.15","3,563,935,000"
"Jun 15, 2018","30,411.07","30,519.29","30,259.11","30,309.49","30,309.49","2,336,474,000"
"Jun 14, 2018","30,684.07","30,777.96","30,349.96","30,440.17","30,440.17","2,128,385,000"
"Jun 13, 2018","30,990.37","31,023.73","30,688.26","30,725.15","30,725.15","1,630,943,500"
"Jun 12, 2018","31,029.85","31,242.86","30,944.97","31,103.06","31,103.06","1,378,992,000"
"Jun 11, 2018","31,016.52","31,134.03","30,898.57","31,063.70","31,063.70","1,323,340,300"
"Jun 08, 2018","31,435.26","31,435.26","30,874.10","30,958.21","30,958.21","1,721,286,300"
"Jun 07, 2018","31,464.63","31,521.13","31,369.28","31,512.63","31,512.63","1,937,967,000"
"Jun 06, 2018","31,162.02","31,332.42","31,161.37","31,259.10","31,259.10","1,465,410,700"
