date,open,high,low,close,Adj Close,volume
"Oct 30, 2018","24,765.12","24,939.18","24,540.63","24,585.53","24,585.53",-
"Oct 29, 2018","24,955.79","24,955.79","24,594.74","24,812.04","24,812.04","2,000,985,900"
"Oct 26, 2018","25,031.49","25,062.20","24,589.04","24,717.63","24,717.63","1,688,395,600"
"Oct 25, 2018","24,766.72","24,994.46","24,653.79","24,994.46","24,994.46","2,288,634,200"
"Oct 24, 2018","25,401.17","25,653.36","25,194.29","25,249.78","25,249.78","1,962,753,500"
"Oct 23, 2018","26,015.49","26,015.49","25,315.76","25,346.55","25,346.55","1,772,912,000"
"Oct 22, 2018","25,668.33","26,234.86","25,668.33","26,153.15","26,153.15","2,222,812,200"
"Oct 19, 2018","25,172.03","25,743.45","25,090.30","25,561.40","25,561.40","2,037,871,700"
"Oct 18, 2018","25,674.66","25,674.66","25,261.72","25,454.55","25,454.55","1,764,725,000"
"Oct 16, 2018","25,586.16","25,712.13","25,266.54","25,462.26","25,462.26","1,467,251,700"
"Oct 15, 2018","25,683.59","25,683.59","25,399.54","25,445.06","25,445.06","1,614,888,500"
"Oct 12, 2018","25,401.41","25,835.76","25,286.86","25,801.49","25,801.49","2,099,313,400"
"Oct 11, 2018","25,392.90","25,437.85","25,125.22","25,266.37","25,266.37","3,090,446,400"
"Oct 10, 2018","26,281.28","26,499.84","26,193.07","26,193.07","26,193.07","1,719,141,400"
"Oct 09, 2018","26,194.17","26,366.60","26,067.51","26,172.91","26,172.91","1,744,919,700"
"Oct 08, 2018","26,717.60","26,717.60","26,187.83","26,202.57","26,202.57","2,296,488,600"
"Oct 05, 2018","26,503.75","26,639.64","26,373.46","26,572.57","26,572.57","1,684,117,300"
"Oct 04, 2018","27,029.40","27,029.40","26,551.44","26,623.87","26,623.87","1,903,259,700"
"Oct 03, 2018","26,840.20","27,270.16","26,840.20","27,091.26","27,091.26","1,316,749,100"
"Oct 02, 2018","27,716.16","27,716.16","27,073.08","27,126.38","27,126.38","2,081,279,200"
"Sep 28, 2018","27,879.06","27,927.95","27,672.83","27,788.52","27,788.52","1,636,511,300"
"Sep 27, 2018","27,912.51","27,928.29","27,638.54","27,715.67","27,715.67","1,440,548,100"
"Sep 26, 2018","27,606.81","28,031.81","27,589.37","27,816.87","27,816.87","2,338,781,100"
"Sep 24, 2018","27,783.85","27,783.85","27,425.01","27,499.39","27,499.39","1,511,079,800"
"Sep 21, 2018","27,712.35","27,965.96","27,536.27","27,953.58","27,953.58","2,777,208,200"
"Sep 20, 2018","27,605.72","27,628.19","27,327.23","27,477.67","27,477.67","1,399,791,400"
"Sep 19, 2018","27,170.02","27,488.35","27,085.79","27,407.37","27,407.37","1,874,196,000"
"Sep 18, 2018","26,846.33","27,156.55","26,648.99","27,084.66","27,084.66","1,810,262,900"
